Offence Group,Year,Count
ARSON AND CRIMINAL DAMAGE,2010,60834
ARSON AND CRIMINAL DAMAGE,2011,72439
ARSON AND CRIMINAL DAMAGE,2012,61123
ARSON AND CRIMINAL DAMAGE,2013,55080
ARSON AND CRIMINAL DAMAGE,2014,57613
ARSON AND CRIMINAL DAMAGE,2015,61360
ARSON AND CRIMINAL DAMAGE,2016,62480
ARSON AND CRIMINAL DAMAGE,2017,62022
ARSON AND CRIMINAL DAMAGE,2018,56742
ARSON AND CRIMINAL DAMAGE,2019,56382
ARSON AND CRIMINAL DAMAGE,2020,51216
ARSON AND CRIMINAL DAMAGE,2021,56379
ARSON AND CRIMINAL DAMAGE,2022,57593
ARSON AND CRIMINAL DAMAGE,2023,60864
ARSON AND CRIMINAL DAMAGE,2024,59885
BURGLARY,2010,67829
BURGLARY,2011,95810
BURGLARY,2012,93319
BURGLARY,2013,87292
BURGLARY,2014,75996
BURGLARY,2015,70596
BURGLARY,2016,68414
BURGLARY,2017,76113
BURGLARY,2018,80546
BURGLARY,2019,80689
BURGLARY,2020,61338
BURGLARY,2021,55685
BURGLARY,2022,57250
BURGLARY,2023,59967
BURGLARY,2024,57292
DRUG OFFENCES,2010,48200
DRUG OFFENCES,2011,62284
DRUG OFFENCES,2012,53529
DRUG OFFENCES,2013,51767
DRUG OFFENCES,2014,45723
DRUG OFFENCES,2015,40901
DRUG OFFENCES,2016,40651
DRUG OFFENCES,2017,37372
DRUG OFFENCES,2018,36771
DRUG OFFENCES,2019,48311
DRUG OFFENCES,2020,56523
DRUG OFFENCES,2021,80077
DRUG OFFENCES,2022,82079
DRUG OFFENCES,2023,66580
DRUG OFFENCES,2024,61779
FRAUD AND FORGERY,2010,16501
FRAUD AND FORGERY,2011,22328
FRAUD AND FORGERY,2012,29631
FRAUD AND FORGERY,2013,2766
FRAUD AND FORGERY,2014,1
FRAUD AND FORGERY,2015,0
FRAUD AND FORGERY,2016,0
FRAUD AND FORGERY,2017,0
FRAUD AND FORGERY,2018,0
FRAUD AND FORGERY,2019,0
FRAUD AND FORGERY,2020,0
FRAUD AND FORGERY,2021,15
FRAUD AND FORGERY,2022,17
FRAUD AND FORGERY,2023,27
FRAUD AND FORGERY,2024,165
MISCELLANEOUS CRIMES AGAINST SOCIETY,2010,5755
MISCELLANEOUS CRIMES AGAINST SOCIETY,2011,8062
MISCELLANEOUS CRIMES AGAINST SOCIETY,2012,7624
MISCELLANEOUS CRIMES AGAINST SOCIETY,2013,8058
MISCELLANEOUS CRIMES AGAINST SOCIETY,2014,9123
MISCELLANEOUS CRIMES AGAINST SOCIETY,2015,10313
MISCELLANEOUS CRIMES AGAINST SOCIETY,2016,11928
MISCELLANEOUS CRIMES AGAINST SOCIETY,2017,11737
MISCELLANEOUS CRIMES AGAINST SOCIETY,2018,11463
MISCELLANEOUS CRIMES AGAINST SOCIETY,2019,11569
MISCELLANEOUS CRIMES AGAINST SOCIETY,2020,11805
MISCELLANEOUS CRIMES AGAINST SOCIETY,2021,14976
MISCELLANEOUS CRIMES AGAINST SOCIETY,2022,16366
MISCELLANEOUS CRIMES AGAINST SOCIETY,2023,14696
MISCELLANEOUS CRIMES AGAINST SOCIETY,2024,13166
POSSESSION OF WEAPONS,2010,4042
POSSESSION OF WEAPONS,2011,5080
POSSESSION OF WEAPONS,2012,3905
POSSESSION OF WEAPONS,2013,4071
POSSESSION OF WEAPONS,2014,4391
POSSESSION OF WEAPONS,2015,4859
POSSESSION OF WEAPONS,2016,5959
POSSESSION OF WEAPONS,2017,7833
POSSESSION OF WEAPONS,2018,7790
POSSESSION OF WEAPONS,2019,7374
POSSESSION OF WEAPONS,2020,6931
POSSESSION OF WEAPONS,2021,9411
POSSESSION OF WEAPONS,2022,10890
POSSESSION OF WEAPONS,2023,10288
POSSESSION OF WEAPONS,2024,7655
PUBLIC ORDER OFFENCES,2010,13657
PUBLIC ORDER OFFENCES,2011,17400
PUBLIC ORDER OFFENCES,2012,22216
PUBLIC ORDER OFFENCES,2013,23753
PUBLIC ORDER OFFENCES,2014,33420
PUBLIC ORDER OFFENCES,2015,41111
PUBLIC ORDER OFFENCES,2016,44388
PUBLIC ORDER OFFENCES,2017,47233
PUBLIC ORDER OFFENCES,2018,47203
PUBLIC ORDER OFFENCES,2019,51578
PUBLIC ORDER OFFENCES,2020,53896
PUBLIC ORDER OFFENCES,2021,63294
PUBLIC ORDER OFFENCES,2022,63329
PUBLIC ORDER OFFENCES,2023,64833
PUBLIC ORDER OFFENCES,2024,60748
ROBBERY,2010,25480
ROBBERY,2011,38665
ROBBERY,2012,35670
ROBBERY,2013,29586
ROBBERY,2014,22400
ROBBERY,2015,21713
ROBBERY,2016,22901
ROBBERY,2017,31505
ROBBERY,2018,33207
ROBBERY,2019,39933
ROBBERY,2020,27635
ROBBERY,2021,24447
ROBBERY,2022,29846
ROBBERY,2023,35740
ROBBERY,2024,36840
SEXUAL OFFENCES,2010,7566
SEXUAL OFFENCES,2011,10281
SEXUAL OFFENCES,2012,9826
SEXUAL OFFENCES,2013,10555
SEXUAL OFFENCES,2014,13889
SEXUAL OFFENCES,2015,15739
SEXUAL OFFENCES,2016,17489
SEXUAL OFFENCES,2017,19742
SEXUAL OFFENCES,2018,20594
SEXUAL OFFENCES,2019,20094
SEXUAL OFFENCES,2020,18862
SEXUAL OFFENCES,2021,25065
SEXUAL OFFENCES,2022,27336
SEXUAL OFFENCES,2023,26594
SEXUAL OFFENCES,2024,28134
THEFT,2010,174776
THEFT,2011,237158
THEFT,2012,241931
THEFT,2013,219370
THEFT,2014,200028
THEFT,2015,204260
THEFT,2016,207823
THEFT,2017,225238
THEFT,2018,221878
THEFT,2019,253410
THEFT,2020,173134
THEFT,2021,186938
THEFT,2022,242697
THEFT,2023,289194
THEFT,2024,330754
VEHICLE OFFENCES,2010,78713
VEHICLE OFFENCES,2011,102964
VEHICLE OFFENCES,2012,95583
VEHICLE OFFENCES,2013,89280
VEHICLE OFFENCES,2014,81907
VEHICLE OFFENCES,2015,82632
VEHICLE OFFENCES,2016,89670
VEHICLE OFFENCES,2017,103914
VEHICLE OFFENCES,2018,112893
VEHICLE OFFENCES,2019,129196
